Raw Data 		Experiment - BH_JMM_9_3_2024_LPS (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A6	Sample 6	3	2	35	3294190	59.91	0.51
A6	Sample 6	3	1	36	3314290	94.99	0.35
A6	Sample 6	3	2	36	3367300	59.91	0.52
A6	Sample 6	3	1	37	3387400	94.99	0.37
A6	Sample 6	3	2	37	3440390	59.94	0.50
A6	Sample 6	3	1	38	3460500	94.99	0.35
A6	Sample 6	3	2	38	3513490	59.94	0.51
A6	Sample 6	3	1	39	3533490	94.99	0.35
A6	Sample 6	3	2	39	3586510	59.94	0.51
A6	Sample 6	3	1	40	3606600	94.99	0.36
A6	Sample 6	3	2	40	3659590	59.94	0.51
A7	Sample 7	3	1	1	756860	94.9	0.30
A7	Sample 7	3	2	1	809790	59.91	0.37
A7	Sample 7	3	1	2	829880	94.99	0.29
A7	Sample 7	3	2	2	882880	59.94	0.39
A7	Sample 7	3	1	3	902980	94.99	0.30
A7	Sample 7	3	2	3	955980	59.94	0.39
A7	Sample 7	3	1	4	976070	94.99	0.30
A7	Sample 7	3	2	4	1029080	59.94	0.39
A7	Sample 7	3	1	5	1049170	94.99	0.29
A7	Sample 7	3	2	5	1102180	59.91	0.39
A7	Sample 7	3	1	6	1122280	94.99	0.28
A7	Sample 7	3	2	6	1175280	59.91	0.38
A7	Sample 7	3	1	7	1195380	94.99	0.28
A7	Sample 7	3	2	7	1248390	59.94	0.39
A7	Sample 7	3	1	8	1268480	94.99	0.28
A7	Sample 7	3	2	8	1321480	59.91	0.39
A7	Sample 7	3	1	9	1341590	94.99	0.29
A7	Sample 7	3	2	9	1394580	59.91	0.39
A7	Sample 7	3	1	10	1414580	94.99	0.29
A7	Sample 7	3	2	10	1467590	59.91	0.40
A7	Sample 7	3	1	11	1487590	94.99	0.28
A7	Sample 7	3	2	11	1540580	59.94	0.38
A7	Sample 7	3	1	12	1560580	94.99	0.30
A7	Sample 7	3	2	12	1613590	59.91	0.40
