,Droplet ID,File,Channel,Intensity
126,63,Image20h,4X_FITC_15%,19044.6
127,63,Image20h,Brightfield,3872.92
128,64,Image20h,4X_FITC_15%,16762.32
129,64,Image20h,Brightfield,2345.96
130,65,Image20h,4X_FITC_15%,16801.68
131,65,Image20h,Brightfield,3226.2
132,66,Image20h,4X_FITC_15%,17267.8
133,66,Image20h,Brightfield,3607.16
134,67,Image20h,4X_FITC_15%,14726.68
135,67,Image20h,Brightfield,4529.96
136,68,Image20h,4X_FITC_15%,12123.28
137,68,Image20h,Brightfield,3444.68
138,69,Image20h,4X_FITC_15%,16501.04
139,69,Image20h,Brightfield,2901.6
140,70,Image20h,4X_FITC_15%,7899.08
141,70,Image20h,Brightfield,3411.76
142,71,Image20h,4X_FITC_15%,15838.04
143,71,Image20h,Brightfield,2644.6
144,72,Image20h,4X_FITC_15%,18927.2
145,72,Image20h,Brightfield,2538.32
146,73,Image20h,4X_FITC_15%,5734.28
147,73,Image20h,Brightfield,3489.08
148,74,Image20h,4X_FITC_15%,14472.52
149,74,Image20h,Brightfield,5582.24
150,75,Image20h,4X_FITC_15%,12074.4
151,75,Image20h,Brightfield,3273.32
152,76,Image20h,4X_FITC_15%,15237.76
153,76,Image20h,Brightfield,3072.88
154,77,Image20h,4X_FITC_15%,17176.76
155,77,Image20h,Brightfield,2063.2
156,78,Image20h,4X_FITC_15%,13864.12
157,78,Image20h,Brightfield,2647.16
158,79,Image20h,4X_FITC_15%,8792.28
159,79,Image20h,Brightfield,3553.76
160,80,Image20h,4X_FITC_15%,17163.44
161,80,Image20h,Brightfield,3189.4
162,81,Image20h,4X_FITC_15%,16826.68
163,81,Image20h,Brightfield,2835.72
164,82,Image20h,4X_FITC_15%,13915.8
165,82,Image20h,Brightfield,5608.24
166,83,Image20h,4X_FITC_15%,14924.68
167,83,Image20h,Brightfield,3431.76
168,84,Image20h,4X_FITC_15%,13749.28
169,84,Image20h,Brightfield,3209.8
170,85,Image20h,4X_FITC_15%,15961.56
171,85,Image20h,Brightfield,3428.92
172,86,Image20h,4X_FITC_15%,12781.2
173,86,Image20h,Brightfield,4296.36
174,87,Image20h,4X_FITC_15%,21134.08
175,87,Image20h,Brightfield,3736.88
176,88,Image20h,4X_FITC_15%,15865.52
177,88,Image20h,Brightfield,3179.0
178,89,Image20h,4X_FITC_15%,17666.04
179,89,Image20h,Brightfield,3925.28
180,90,Image20h,4X_FITC_15%,17839.08
181,90,Image20h,Brightfield,2790.8
182,91,Image20h,4X_FITC_15%,6475.48
183,91,Image20h,Brightfield,3254.0
184,92,Image20h,4X_FITC_15%,18728.48
185,92,Image20h,Brightfield,4093.0
186,93,Image20h,4X_FITC_15%,13890.28
187,93,Image20h,Brightfield,4232.24
188,94,Image20h,4X_FITC_15%,12153.52
189,94,Image20h,Brightfield,3429.64
190,95,Image20h,4X_FITC_15%,14117.24
191,95,Image20h,Brightfield,2844.04
192,96,Image20h,4X_FITC_15%,14823.6
193,96,Image20h,Brightfield,3080.64
194,97,Image20h,4X_FITC_15%,21526.28
195,97,Image20h,Brightfield,4142.12
196,98,Image20h,4X_FITC_15%,18127.76
197,98,Image20h,Brightfield,3265.84
198,99,Image20h,4X_FITC_15%,13661.84
199,99,Image20h,Brightfield,4312.32
200,100,Image20h,4X_FITC_15%,13700.64
201,100,Image20h,Brightfield,4533.0
202,101,Image20h,4X_FITC_15%,6227.72
203,101,Image20h,Brightfield,2886.4
204,102,Image20h,4X_FITC_15%,13185.24
205,102,Image20h,Brightfield,3151.32
206,103,Image20h,4X_FITC_15%,12875.72
207,103,Image20h,Brightfield,3703.04
208,104,Image20h,4X_FITC_15%,14541.08
209,104,Image20h,Brightfield,5654.96
210,105,Image20h,4X_FITC_15%,8686.36
211,105,Image20h,Brightfield,3768.68
212,106,Image20h,4X_FITC_15%,19598.24
213,106,Image20h,Brightfield,3437.68
214,107,Image20h,4X_FITC_15%,18213.16
215,107,Image20h,Brightfield,3939.84
