Area,Intensity,Eccentricity,Time
250936.0,399948.53515625,0.9694173198959167,0.0
26086.0,46975.765625,0.9996347687734422,0.0
112159.0,308934.265625,0.988603501563377,0.0
643.0,6609.81640625,0.9230731433016912,0.0
2525.0,25588.53125,0.4635071250684466,0.0
473.0,4959.25,0.9480048919696161,0.0
2259.0,23774.734375,0.6040609675394301,0.0
1026.0,2173.7109375,0.8691630462817207,0.0
3462.0,7098.37890625,0.29504965268579386,0.0
200306.0,427235.25,0.9675231936726947,0.0
2907.0,5632.78125,0.19003621423249198,0.0
12081.0,20263.5078125,0.999412122834134,0.0
81.0,230.5703125,0.0,0.0
2846.0,29747.4140625,0.2653538884988573,0.0
219.0,572.97265625,0.6206734316896361,0.0
116.0,306.546875,0.347965715800885,0.0
261.0,608.60546875,0.681317193097674,0.0
3047.0,6035.40625,0.2898065503293157,0.0
81.0,225.875,0.0,0.0
3076.0,5886.453125,0.24451021281503552,0.0
2671.0,26687.3125,0.4636299395381089,0.0
499.0,1329.66796875,0.9269955823984793,0.0
2945.0,5700.05859375,0.28560451684327237,0.0
135.0,276.1875,0.4111195533860721,0.0
2510.0,28350.359375,0.30197713714257124,0.0
3034.0,30004.30859375,0.1811674236221181,0.0
3192.0,6385.125,0.15981833939865064,0.0
3171.0,6047.71484375,0.30417697520626225,0.0
2980.0,5757.4140625,0.2958604602350663,0.0
81.0,168.0078125,0.0,0.0
150.0,414.7890625,0.46284944459476934,0.0
142.0,331.1796875,0.31965529291480044,0.0
2688.0,28757.359375,0.20787691480771028,0.0
112.0,266.1171875,0.3770624287172454,0.0
119.0,258.94921875,0.21991994184878824,0.0
3327.0,6393.09375,0.26846824496700394,0.0
2548.0,28647.9765625,0.37066879748112685,0.0
100.0,218.02734375,0.304568390943487,0.0
2704.0,5272.1328125,0.24053789739066123,0.0
116.0,263.22265625,0.347965715800885,0.0
2914.0,6034.0,0.1868344480263699,0.0
135.0,345.34375,0.5256076031084033,0.0
81.0,223.03125,0.0,0.0
2443.0,28090.2734375,0.26560687891624635,0.0
104.0,284.25390625,0.0,0.0
2720.0,31000.4609375,0.22911785754922265,0.0
92.0,221.36328125,0.3468889594776243,0.0
2585.0,29486.5625,0.16289226809840618,0.0
163.0,369.80859375,0.5209561739318312,0.0
3094.0,5884.08203125,0.15654924305768123,0.0
92.0,219.69140625,0.3468889594776243,0.0
2938.0,5770.02734375,0.25339658318163544,0.0
160.0,420.07421875,0.46573035540772245,0.0
2959.0,5612.4921875,0.24103639984129735,0.0
170.0,412.73046875,0.2637501831865227,0.0
2927.0,31428.05078125,0.12904783919729085,0.0
81.0,192.5,0.0,0.0
137.0,401.40234375,0.3415718266696461,0.0
147.0,403.8359375,0.5023150892269751,0.0
2976.0,5766.61328125,0.24916426731743938,0.0
81.0,204.17578125,0.0,0.0
135.0,372.4375,0.41111955338607237,0.0
2532.0,30495.12109375,0.18323342611940902,0.0
3160.0,5953.8046875,0.17888791847945637,0.0
2838.0,33130.53125,0.122539994263238,0.0
81.0,150.0703125,0.0,0.0
2771.0,34314.01171875,0.24980413356850115,0.0
92.0,259.5390625,0.3468889594776243,0.0
2952.0,5441.04296875,0.2141316772441061,0.0
