Raw Data 		Experiment - JMMOligoTest12_19 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	533-580	
A11	Sample 11	2	2	34	2724260	59.91	1.26	0.21
A11	Sample 11	2	2	35	2798560	59.91	1.27	0.21
A11	Sample 11	2	2	36	2872770	59.94	1.27	0.21
A11	Sample 11	2	2	37	2947060	59.94	1.27	0.21
A11	Sample 11	2	2	38	3021260	59.94	1.26	0.21
A11	Sample 11	2	2	39	3095460	59.94	1.27	0.21
A11	Sample 11	2	2	40	3169760	59.94	1.28	0.21
A12	Sample 12	2	2	1	274120	59.94	0.58	0.10
A12	Sample 12	2	2	2	348350	59.94	0.59	0.10
A12	Sample 12	2	2	3	422640	59.94	0.59	0.11
A12	Sample 12	2	2	4	496850	59.94	0.58	0.10
