Raw Data 		Experiment - JMMOligoTest12_12 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	533-580	
A1	Sample 1	2	2	1	273930	59.94	0.76	0.16
A1	Sample 1	2	2	2	348170	59.94	0.76	0.16
A1	Sample 1	2	2	3	422460	59.94	0.78	0.17
A1	Sample 1	2	2	4	496760	59.94	0.77	0.16
A1	Sample 1	2	2	5	570960	59.91	0.78	0.16
A1	Sample 1	2	2	6	645160	59.91	0.78	0.17
A1	Sample 1	2	2	7	719460	59.91	0.78	0.17
A1	Sample 1	2	2	8	793770	59.94	0.79	0.17
A1	Sample 1	2	2	9	868070	59.94	0.78	0.17
A1	Sample 1	2	2	10	942360	59.94	0.78	0.17
A1	Sample 1	2	2	11	1016660	59.94	0.78	0.17
A1	Sample 1	2	2	12	1090860	59.91	0.79	0.17
A1	Sample 1	2	2	13	1165170	59.94	0.79	0.17
A1	Sample 1	2	2	14	1239460	59.94	0.79	0.17
A1	Sample 1	2	2	15	1313770	59.94	0.79	0.17
A1	Sample 1	2	2	16	1388070	59.94	0.79	0.17
A1	Sample 1	2	2	17	1462370	59.94	0.79	0.17
A1	Sample 1	2	2	18	1536660	59.94	0.80	0.17
A1	Sample 1	2	2	19	1610870	59.94	0.79	0.17
A1	Sample 1	2	2	20	1685180	59.94	0.79	0.17
A1	Sample 1	2	2	21	1759490	59.94	0.79	0.17
A1	Sample 1	2	2	22	1833770	59.94	0.79	0.17
A1	Sample 1	2	2	23	1907980	59.94	0.79	0.17
A1	Sample 1	2	2	24	1982160	59.94	0.79	0.17
A1	Sample 1	2	2	25	2056460	59.94	0.79	0.17
A1	Sample 1	2	2	26	2130570	59.94	0.79	0.17
A1	Sample 1	2	2	27	2204870	59.94	0.79	0.17
A1	Sample 1	2	2	28	2279070	59.94	0.79	0.17
A1	Sample 1	2	2	29	2353270	59.94	0.79	0.17
A1	Sample 1	2	2	30	2427470	59.94	0.79	0.17
A1	Sample 1	2	2	31	2501670	59.91	0.80	0.17
A1	Sample 1	2	2	32	2575890	59.94	0.80	0.17
A1	Sample 1	2	2	33	2650170	59.94	0.80	0.17
A1	Sample 1	2	2	34	2724380	59.94	0.80	0.17
A1	Sample 1	2	2	35	2798670	59.94	0.79	0.17
A1	Sample 1	2	2	36	2872970	59.94	0.79	0.17
A1	Sample 1	2	2	37	2947280	59.94	0.79	0.17
A1	Sample 1	2	2	38	3021480	59.94	0.80	0.17
A1	Sample 1	2	2	39	3095680	59.94	0.80	0.17
A1	Sample 1	2	2	40	3169870	59.94	0.80	0.17
A2	Sample 2	2	2	1	273930	59.94	1.20	0.22
A2	Sample 2	2	2	2	348170	59.94	1.19	0.22
A2	Sample 2	2	2	3	422460	59.94	1.20	0.22
A2	Sample 2	2	2	4	496760	59.94	1.19	0.22
A2	Sample 2	2	2	5	570960	59.91	1.19	0.22
A2	Sample 2	2	2	6	645160	59.91	1.18	0.22
A2	Sample 2	2	2	7	719460	59.91	1.18	0.23
A2	Sample 2	2	2	8	793770	59.94	1.18	0.22
A2	Sample 2	2	2	9	868070	59.94	1.18	0.23
A2	Sample 2	2	2	10	942360	59.94	1.19	0.22
A2	Sample 2	2	2	11	1016660	59.94	1.19	0.23
A2	Sample 2	2	2	12	1090860	59.91	1.19	0.23
A2	Sample 2	2	2	13	1165170	59.94	1.19	0.23
A2	Sample 2	2	2	14	1239460	59.94	1.19	0.23
A2	Sample 2	2	2	15	1313770	59.94	1.19	0.23
A2	Sample 2	2	2	16	1388070	59.94	1.19	0.23
A2	Sample 2	2	2	17	1462370	59.94	1.20	0.23
A2	Sample 2	2	2	18	1536660	59.94	1.20	0.23
A2	Sample 2	2	2	19	1610870	59.94	1.19	0.23
A2	Sample 2	2	2	20	1685180	59.94	1.20	0.23
A2	Sample 2	2	2	21	1759490	59.94	1.19	0.23
A2	Sample 2	2	2	22	1833770	59.94	1.20	0.23
A2	Sample 2	2	2	23	1907980	59.94	1.20	0.23
A2	Sample 2	2	2	24	1982160	59.94	1.20	0.23
A2	Sample 2	2	2	25	2056460	59.94	1.20	0.23
A2	Sample 2	2	2	26	2130570	59.94	1.21	0.23
A2	Sample 2	2	2	27	2204870	59.94	1.20	0.23
A2	Sample 2	2	2	28	2279070	59.94	1.19	0.23
A2	Sample 2	2	2	29	2353270	59.94	1.20	0.23
A2	Sample 2	2	2	30	2427470	59.94	1.20	0.23
A2	Sample 2	2	2	31	2501670	59.91	1.21	0.23
A2	Sample 2	2	2	32	2575890	59.94	1.21	0.23
A2	Sample 2	2	2	33	2650170	59.94	1.20	0.23
A2	Sample 2	2	2	34	2724380	59.94	1.20	0.23
A2	Sample 2	2	2	35	2798670	59.94	1.20	0.23
A2	Sample 2	2	2	36	2872970	59.94	1.21	0.23
A2	Sample 2	2	2	37	2947280	59.94	1.21	0.23
A2	Sample 2	2	2	38	3021480	59.94	1.21	0.23
A2	Sample 2	2	2	39	3095680	59.94	1.20	0.23
A2	Sample 2	2	2	40	3169870	59.94	1.20	0.23
A3	Sample 3	2	2	1	273930	59.94	0.39	0.07
A3	Sample 3	2	2	2	348170	59.94	0.40	0.07
A3	Sample 3	2	2	3	422460	59.94	0.41	0.07
A3	Sample 3	2	2	4	496760	59.94	0.42	0.07
A3	Sample 3	2	2	5	570960	59.91	0.43	0.07
A3	Sample 3	2	2	6	645160	59.91	0.43	0.08
A3	Sample 3	2	2	7	719460	59.91	0.44	0.08
A3	Sample 3	2	2	8	793770	59.94	0.45	0.08
A3	Sample 3	2	2	9	868070	59.94	0.45	0.08
A3	Sample 3	2	2	10	942360	59.94	0.45	0.08
A3	Sample 3	2	2	11	1016660	59.94	0.47	0.08
A3	Sample 3	2	2	12	1090860	59.91	0.46	0.08
A3	Sample 3	2	2	13	1165170	59.94	0.47	0.08
A3	Sample 3	2	2	14	1239460	59.94	0.47	0.08
A3	Sample 3	2	2	15	1313770	59.94	0.47	0.09
A3	Sample 3	2	2	16	1388070	59.94	0.47	0.09
A3	Sample 3	2	2	17	1462370	59.94	0.48	0.09
A3	Sample 3	2	2	18	1536660	59.94	0.48	0.09
A3	Sample 3	2	2	19	1610870	59.94	0.49	0.09
A3	Sample 3	2	2	20	1685180	59.94	0.48	0.09
A3	Sample 3	2	2	21	1759490	59.94	0.49	0.09
A3	Sample 3	2	2	22	1833770	59.94	0.49	0.09
A3	Sample 3	2	2	23	1907980	59.94	0.49	0.09
A3	Sample 3	2	2	24	1982160	59.94	0.49	0.09
A3	Sample 3	2	2	25	2056460	59.94	0.50	0.09
A3	Sample 3	2	2	26	2130570	59.94	0.50	0.09
A3	Sample 3	2	2	27	2204870	59.94	0.49	0.09
A3	Sample 3	2	2	28	2279070	59.94	0.50	0.09
A3	Sample 3	2	2	29	2353270	59.94	0.49	0.09
A3	Sample 3	2	2	30	2427470	59.94	0.50	0.09
A3	Sample 3	2	2	31	2501670	59.91	0.51	0.09
A3	Sample 3	2	2	32	2575890	59.94	0.50	0.09
A3	Sample 3	2	2	33	2650170	59.94	0.50	0.09
A3	Sample 3	2	2	34	2724380	59.94	0.51	0.09
A3	Sample 3	2	2	35	2798670	59.94	0.50	0.09
A3	Sample 3	2	2	36	2872970	59.94	0.50	0.09
A3	Sample 3	2	2	37	2947280	59.94	0.50	0.09
A3	Sample 3	2	2	38	3021480	59.94	0.51	0.09
A3	Sample 3	2	2	39	3095680	59.94	0.51	0.09
A3	Sample 3	2	2	40	3169870	59.94	0.50	0.09
A4	Sample 4	2	2	1	273930	59.94	0.23	0.04
A4	Sample 4	2	2	2	348170	59.94	0.24	0.04
A4	Sample 4	2	2	3	422460	59.94	0.25	0.05
A4	Sample 4	2	2	4	496760	59.94	0.25	0.05
